,Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Month,Year,VMAP,Day_Perc_Change,Trend
307,HINDUNILVR,EQ,2018-08-03,1748.5,1754.0,1767.35,1746.9,1760.5,1763.0,1756.65,758933,1333177144.6,36461,364732,48.06,8,2018,1334.7421324219613,0.008292822419216472,Slight positive
308,HINDUNILVR,EQ,2018-08-06,1763.0,1760.0,1760.0,1715.05,1730.0,1730.3,1731.83,1629015,2821182070.45,58718,1037708,63.7,8,2018,1336.4515371301825,-0.018547929665343243,Negative
309,HINDUNILVR,EQ,2018-08-07,1730.3,1730.8,1742.0,1724.0,1730.0,1730.05,1730.71,863577,1494601119.25,73765,577748,66.9,8,2018,1337.3511806336521,-0.00014448361555796652,Slight or No change
310,HINDUNILVR,EQ,2018-08-08,1730.05,1728.0,1763.0,1721.35,1761.9,1757.15,1746.54,1423256,2485780573.1,64480,1052816,73.97,8,2018,1338.9266403290474,0.01566428715933066,Positive
311,HINDUNILVR,EQ,2018-08-09,1757.15,1761.5,1765.0,1738.2,1755.0,1754.2,1753.38,939345,1647026848.55,39716,543579,57.87,8,2018,1339.9526888228852,-0.0016788549640042172,Slight or No change
312,HINDUNILVR,EQ,2018-08-10,1754.2,1750.0,1763.6,1741.5,1751.0,1752.7,1753.63,730724,1281422101.9,29649,381132,52.16,8,2018,1340.7444831439843,-0.0008550906396077584,Slight or No change
313,HINDUNILVR,EQ,2018-08-13,1752.7,1739.0,1756.5,1725.75,1730.4,1728.85,1743.98,691024,1205130812.3,45796,355649,51.47,8,2018,1341.447281203412,-0.013607576881383032,Negative
314,HINDUNILVR,EQ,2018-08-14,1728.85,1729.0,1759.3,1729.0,1743.9,1744.25,1749.3,850399,1487603563.0,39733,467681,55.0,8,2018,1342.3429263915702,0.00890765537785243,Slight positive
315,HINDUNILVR,EQ,2018-08-16,1744.25,1741.0,1751.95,1730.6,1740.95,1737.4,1740.41,638454,1111169488.55,37949,364700,57.12,8,2018,1343.0013204869392,-0.003927189336390913,Slight or No change
316,HINDUNILVR,EQ,2018-08-17,1737.4,1741.1,1788.6,1731.75,1784.0,1784.75,1764.26,1420289,2505760170.3,77740,729385,51.35,8,2018,1344.6330242545373,0.027253367100264603,Positive
317,HINDUNILVR,EQ,2018-08-20,1784.75,1790.0,1808.65,1773.2,1773.8,1777.0,1790.26,924623,1655316337.65,48375,319601,34.57,8,2018,1345.670226533782,-0.004342344866227754,Slight or No change
318,HINDUNILVR,EQ,2018-08-21,1777.0,1777.0,1777.0,1750.0,1753.3,1752.5,1759.16,1169476,2057297166.0,77683,777068,66.45,8,2018,1346.9008765915853,-0.013787281935846885,Negative
319,HINDUNILVR,EQ,2018-08-23,1752.5,1764.95,1783.5,1757.5,1773.25,1772.8,1769.65,1375102,2433444170.4,96862,872741,63.47,8,2018,1348.4103665022435,0.011583452211126888,Positive
320,HINDUNILVR,EQ,2018-08-24,1772.8,1773.25,1789.0,1762.25,1783.25,1780.95,1778.31,866648,1541172940.6,39813,443838,51.21,8,2018,1349.3743912557677,0.004597247292418727,Slight positive
321,HINDUNILVR,EQ,2018-08-27,1780.95,1791.0,1798.0,1778.7,1791.8,1792.3,1789.67,627163,1122417637.2,35833,386297,61.59,8,2018,1350.0876233227477,0.006373003172464031,Slight positive
322,HINDUNILVR,EQ,2018-08-28,1792.3,1789.0,1790.95,1767.85,1771.9,1771.2,1778.99,991764,1764333870.25,41409,702356,70.82,8,2018,1351.1572235868819,-0.011772582714947188,Negative
323,HINDUNILVR,EQ,2018-08-29,1771.2,1775.0,1779.4,1751.25,1755.6,1755.85,1759.56,777922,1368804168.2,45041,519535,66.78,8,2018,1351.9618833500656,-0.00866644083107504,Slight negative
324,HINDUNILVR,EQ,2018-08-30,1755.85,1755.0,1779.8,1755.0,1776.6,1772.85,1769.96,1586926,2808800920.7,65741,1173607,73.95,8,2018,1353.6621465079104,0.00968192043739502,Slight positive
325,HINDUNILVR,EQ,2018-08-31,1772.85,1777.0,1789.95,1765.0,1776.0,1780.1,1778.75,1335542,2375597654.15,73876,815756,61.08,8,2018,1355.1070275860175,0.004089460473249318,Slight positive
326,HINDUNILVR,EQ,2018-09-03,1780.1,1791.5,1791.5,1695.85,1699.8,1699.1,1729.5,1744229,3016644454.85,67015,1002351,57.47,9,2018,1356.6225219461357,-0.04550306162575135,Among top losers
